Name,Team,Position
Patrick Mahomes II,KC,QB
Josh Allen,BUF,QB
Kyler Murray,ARI,QB
Deshaun Watson,HOU,QB
Dak Prescott,DAL,QB
Lamar Jackson,BAL,QB
Justin Herbert,LAC,QB
Russell Wilson,SEA,QB
Joe Burrow,CIN,QB
Aaron Rodgers,GB,QB
Ryan Tannehill,TEN,QB
Jalen Hurts,PHI,QB
Baker Mayfield,CLE,QB
Matthew Stafford,LAR,QB
Tua Tagovailoa,MIA,QB
Carson Wentz,IND,QB
Kirk Cousins,MIN,QB
Matt Ryan,ATL,QB
Trevor Lawrence,FA,QB
Jared Goff,DET,QB
Derek Carr,LV,QB
Daniel Jones,NYG,QB
Justin Fields,FA,QB
Tom Brady,TB,QB
Sam Darnold,NYJ,QB
Jimmy Garoppolo,SF,QB
Teddy Bridgewater,CAR,QB
Taysom Hill,NO,QB
Jameis Winston,NO,QB
Drew Lock,DEN,QB
Zach Wilson,FA,QB
Trey Lance,FA,QB
Cam Newton,NE,QB
Mitchell Trubisky,BUF,QB
Ben Roethlisberger,PIT,QB
Mac Jones,FA,QB
Jordan Love,GB,QB
Marcus Mariota,LV,QB
Gardner Minshew II,JAC,QB
Andy Dalton,CHI,QB
Dwayne Haskins,PIT,QB
Nick Foles,CHI,QB
Ryan Fitzpatrick,WAS,QB
Alex Smith,FA,QB
Kyle Trask,FA,QB
Jacoby Brissett,MIA,QB
Taylor Heinicke,WAS,QB
Christian McCaffrey,CAR,RB
Saquon Barkley,NYG,RB
Dalvin Cook,MIN,RB
Jonathan Taylor,IND,RB
Alvin Kamara,NO,RB
Nick Chubb,CLE,RB
Derrick Henry,TEN,RB
D'Andre Swift,DET,RB
Aaron Jones,GB,RB
Ezekiel Elliott,DAL,RB
Cam Akers,LAR,RB
J.K. Dobbins,BAL,RB
Miles Sanders,PHI,RB
Antonio Gibson,WAS,RB
Austin Ekeler,LAC,RB
Clyde Edwards-Helaire,KC,RB
Josh Jacobs,LV,RB
Joe Mixon,CIN,RB
James Robinson,JAC,RB
David Montgomery,CHI,RB
Kareem Hunt,CLE,RB
Chris Carson,SEA,RB
Ronald Jones II,TB,RB
Melvin Gordon III,DEN,RB
Kenyan Drake,LV,RB
Najee Harris,FA,RB
Damien Harris,NE,RB
AJ Dillon,GB,RB
Raheem Mostert,SF,RB
Travis Etienne,FA,RB
Leonard Fournette,TB,RB
Myles Gaskin,MIA,RB
David Johnson,HOU,RB
Chase Edmonds,ARI,RB
James Conner,PIT,RB
Zack Moss,BUF,RB
Devin Singletary,BUF,RB
Tony Pollard,DAL,RB
Nyheim Hines,IND,RB
Tarik Cohen,CHI,RB
Alexander Mattison,MIN,RB
Darrell Henderson,LAR,RB
J.D. McKissic,WAS,RB
Gus Edwards,BAL,RB
Phillip Lindsay,HOU,RB
Kenny Gainwell,FA,RB
Javonte Williams,FA,RB
Rashaad Penny,SEA,RB
Todd Gurley II,ATL,RB
Ke'Shawn Vaughn,TB,RB
Jamaal Williams,DET,RB
Sony Michel,NE,RB
Marlon Mack,IND,RB
James White,NE,RB
Latavius Murray,NO,RB
Jeff Wilson Jr.,SF,RB
Le'Veon Bell,KC,RB
Kerryon Johnson,DET,RB
Joshua Kelley,LAC,RB
